Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.301427458,0.2342628479,6.494843903,-2.528392181,6.973567482
4.311403458,0.3427871704,7.35166214,-2.740201721,7.853225117
4.321379458,0.5939648438,8.027506714,-2.61401413,8.463257538
4.331354458,0.7198530579,8.617879028,-2.47824646,8.995984265
4.341330458,0.6343807983,9.101223907,-1.986968079,9.337170758
4.351306458,0.374072113,9.931098175,-1.34091156,10.02819449
4.361282458,0.1134640503,11.10540619,-0.5598358154,11.12008709
4.371258458,-0.1755848694,11.89411606,1.293609924,11.96554443
4.381233458,-0.5189707947,12.20561829,4.015549622,12.85966902
4.391209458,-0.7512876892,11.97120575,4.962480469,12.98077088
4.401185458,-0.769100647,11.36257141,3.596720581,11.94302909
4.411161458,-0.7195536804,10.63538361,1.630858612,10.78373042
4.421137458,-0.7517367554,9.92705658,0.4887336731,9.967468138
4.431112458,-0.7777825928,9.414073334,0.4691244507,9.457790453
4.441088458,-0.6086343384,9.289831696,0.8771759033,9.350981032
4.451064458,-0.2281256104,9.497000885,0.8369096375,9.536534216
4.461040458,0.008083190918,9.675130463,0.3790118408,9.682554662
4.471016458,-0.005538482666,9.81464035,0.1760339355,9.816220445
4.480991458,-0.1450483704,9.970915375,0.2694396973,9.975609765
4.490967458,-0.3962260437,10.08677444,0.324225769,10.09975921
4.500943458,-0.5978567505,9.912087708,0.63887146,9.950631747
4.510919458,-0.596509552,9.655221863,1.083896027,9.734164754
4.520895458,-0.6200106812,9.517807617,1.218765564,9.615532465
4.530870458,-0.6494993591,9.450896759,0.9469308472,9.520397943
4.540846458,-0.7592211914,9.503287811,0.7171586609,9.560502737
4.550822458,-1.028211823,9.478738861,0.4770579529,9.546271222
4.560798458,-1.45213028,9.427545319,0.01811233521,9.538743164
4.570774458,-1.90254364,9.497000885,-0.3132984924,9.690761273
4.580749458,-2.215692444,9.654174042,-0.3662882996,9.911939091
4.590725458,-2.633323975,9.639654236,-0.3239263916,9.998112684
4.600701458,-2.946772156,9.367819519,-0.04251159668,9.820453957
4.610677458,-2.942580872,9.209299164,0.09984237671,9.668502561
4.620653458,-2.672542419,9.104217682,0.4808001709,9.500549005
4.630628458,-2.087708588,9.26243866,1.074615326,9.555422292
4.640604458,-1.210832062,9.578132172,1.274898834,9.738177305
4.650580458,-0.4671784973,9.867480469,1.280137939,9.961133454
4.660556458,-0.1917512512,9.946067047,1.245410156,10.02557054
4.670532458,-0.1716929626,9.801617432,0.8038284302,9.836021701
4.680507458,-0.3405418396,9.599088593,0.1594184875,9.606450167
4.690483458,-0.4712200928,9.376052399,0.06092330933,9.388083862
4.700459458,-0.3159928894,9.191935272,0.1917512512,9.199363788
4.710435458,-0.2444416809,9.10676239,0.2505789185,9.113487958
4.720411458,-0.4314028931,8.870703278,-0.0592767334,8.881384961
4.730386458,-0.63887146,8.684191132,-0.7268884277,8.737945934
4.740362458,-0.7445516968,8.683292999,-1.211131439,8.79890754
4.750338458,-0.758921814,8.748108215,-0.9183403015,8.828856584
4.760314458,-1.293011169,9.005273438,-0.3198847961,9.103249631
4.770290458,-1.690434723,9.403595123,-0.283510437,9.558532783
4.780265458,-1.866169281,9.661059723,0.060025177,9.839830577
4.790241458,-1.924547882,9.809700623,0.5887257385,10.01402561
4.800217458,-1.946252747,9.833650818,0.7390132141,10.05160329
4.810193458,-1.789678345,9.708960114,0.5215155029,9.886295235
4.820169458,-1.652862854,9.425150299,0.113613739,9.569656308
4.830144458,-1.49419281,9.220825195,-0.2493814087,9.344432595
4.840120458,-1.441801758,9.125922546,-0.5477110291,9.255335867
4.850096458,-1.443598022,9.09388916,-0.7451504517,9.237859303
4.860072458,-1.357527008,9.168284454,-0.7707472229,9.300234981
4.870048458,-1.278341675,9.274862823,-0.7056326294,9.38909768
4.880023458,-1.239572296,9.398206329,-0.4555027771,9.490537628
4.889999458,-1.284179535,9.530231781,-0.1901046753,9.618241766
4.899975458,-1.340612183,9.666747894,-0.08981323242,9.759678391
4.909951458,-1.499880981,9.762548676,-0.2046244812,9.879214077
4.919927458,-1.482217712,9.805808716,-0.292641449,9.921516665
4.929902458,-1.349443817,9.847122803,-0.5038522339,9.95191907
4.939878458,-1.175206146,9.811496887,-0.6251000977,9.901380247
4.949854458,-1.312021637,9.624835052,-0.6251000977,9.733940656
4.959830458,-1.263223114,9.53741684,-0.6366261292,9.641750123
4.969806458,-1.216969299,9.472751312,-0.6846762085,9.575114266
4.979781458,-1.303190002,9.426347809,-0.592767334,9.534448611
4.989757458,-1.311273193,9.451495514,-0.5884263611,9.560149079
4.999733458,-1.217568054,9.506730652,-0.4364923096,9.594317338
5.009709458,-1.222956848,9.539213104,-0.2330653381,9.620110683
5.019685458,-1.293160858,9.532327423,-0.2646496582,9.623282732
5.029660458,-1.447489929,9.492210846,-0.4306544495,9.61159493
5.039636458,-1.592089233,9.456135864,-0.6596781921,9.611889977
5.049612458,-1.695823517,9.398805084,-0.7734416199,9.581835229
5.059588458,-1.737736359,9.420809326,-0.9358538818,9.625341474
5.069564458,-1.648821259,9.489067383,-1.138083344,9.698259897
5.079539458,-1.665436707,9.544452209,-1.205293579,9.763348811
5.089514833,-1.640588379,9.531279602,-1.166224823,9.741504064
5.099490833,-1.677112427,9.525890808,-1.214873657,9.748395754
5.109466833,-1.838027802,9.39341629,-1.42518631,9.677074549
5.119442833,-2.099234619,9.210346985,-1.624272308,9.585172826
5.129417833,-2.200723572,9.218130798,-1.774410095,9.641869676
5.139393833,-2.354453888,9.218879242,-1.746717682,9.67378986
5.149369833,-2.612217865,9.322164459,-1.758543091,9.839659861
5.159345833,-2.703827362,9.403146057,-1.918111267,9.970405659
5.169321833,-2.728825378,9.349258118,-2.080822906,9.959163583
5.179296833,-2.715503082,9.275611267,-2.130968628,9.89706768
5.189272833,-2.683469696,9.297166443,-2.267335052,9.938768622
5.199248833,-2.580483856,9.452842712,-2.58242981,10.13331515
5.209224833,-2.364932098,9.846074982,-2.960094452,10.54989363
5.219200833,-2.046394501,10.32941986,-3.073408813,10.96952537
5.229176833,-1.592089233,10.72519684,-2.860401764,11.2136744
5.239151833,-1.116528168,10.77713882,-2.457439728,11.11001199
5.249127833,-0.5860313416,10.60948746,-1.928439789,10.79923779
5.259103833,-0.1236428833,10.48599426,-1.684596863,10.62116895
5.269079833,0.3543132019,10.46982788,-1.532962189,10.58738904
5.279055833,0.6743476868,10.44048889,-1.147364044,10.52497018
5.289030833,0.8304730225,10.43330383,-0.8683442688,10.50226338
5.299006833,0.922381897,10.46384033,-0.6277944946,10.52315869
5.308982833,1.050216064,10.56488022,-0.2665956116,10.6202976
5.318958833,0.9204359436,10.67115921,-0.09909393311,10.71123993
5.328934833,0.4948709106,10.57416092,-0.06990463257,10.58596538
5.338909833,-0.2194436646,10.38091278,-0.03622467041,10.38329514
5.348885833,-0.7276368713,10.18122803,-0.3523672485,10.21327676
5.358861833,-1.090632019,9.8790065,-0.7526348877,9.967482476
5.368837833,-1.230141907,9.659862213,-1.083746338,9.797994346
5.378813833,-1.246008911,9.480984192,-1.084494781,9.623810492
5.388788833,-1.280736694,9.274862823,-1.22041214,9.442074595
5.398764833,-1.210682373,9.222920837,-1.267414398,9.387990192
5.408740833,-1.091979218,9.320667572,-1.052760773,9.443281625
5.418716833,-1.07880661,9.40988205,-0.98989151,9.523108163
5.428692833,-1.087488556,9.475146332,-0.9324110413,9.582818986
5.438668833,-1.066981201,9.617799683,-0.7586224365,9.706494095
5.448643833,-1.010249176,9.886341248,-0.6375242615,9.958252048
5.458619833,-0.959355011,10.23436752,-0.6457571411,10.29949722
5.468595833,-0.8653504944,10.60963715,-0.7214996338,10.66929208
5.478571833,-0.798589325,11.05765549,-0.4953199768,11.09751466
5.488547833,-0.6700067139,11.61958694,-0.01526824951,11.63889784
5.498522833,-0.5442681885,12.18466187,0.5049000549,12.20725754
5.508498833,-0.279768219,12.68806503,1.220262451,12.74967862
5.518474833,0.05358856201,13.13503555,1.634451141,13.23644443
5.528450833,0.2787203979,13.10973816,1.765877838,13.23107117
